id,post_id,title,description,keywords,keyphrases,page_analysis,canonical_url,og_title,og_description,og_object_type,og_image_type,og_image_url,og_image_width,og_image_height,og_image_custom_url,og_image_custom_fields,og_video,og_custom_url,og_article_section,og_article_tags,twitter_use_og,twitter_card,twitter_image_type,twitter_image_url,twitter_image_custom_url,twitter_image_custom_fields,twitter_title,twitter_description,schema,pillar_content,robots_default,robots_noindex,robots_noarchive,robots_nosnippet,robots_nofollow,robots_noimageindex,robots_noodp,robots_notranslate,robots_max_snippet,robots_max_videopreview,robots_max_imagepreview,priority,frequency,limit_modified_date,created,updated
"791","11567",#post_title,,"[]","{""focus"":{""keyphrase"":"""",""score"":0,""analysis"":{""keyphraseInTitle"":{""score"":0,""maxScore"":9,""error"":1}}},""additional"":[]}","{""analysis"":{""basic"":{""metadescriptionLength"":{""title"":""Meta description length"",""description"":""The meta description is over 160 characters."",""score"":6,""maxScore"":9,""error"":1},""lengthContent"":{""title"":""Content length"",""description"":""The content length is ok. Good job!"",""score"":9,""maxScore"":9,""error"":0},""isInternalLink"":{""title"":""Internal links"",""description"":""We couldn't find any internal links in your content. Add internal links in your content."",""score"":3,""maxScore"":9,""error"":1},""isExternalLink"":{""title"":""External links"",""description"":""Great! You are linking to external resources."",""score"":9,""maxScore"":9,""error"":0},""errors"":2},""title"":{""titleLength"":{""title"":""SEO Title length"",""description"":""The title is too short."",""score"":6,""maxScore"":9,""error"":1},""errors"":1},""readability"":{""contentHasAssets"":{""error"":0,""title"":""Images\/videos in content"",""description"":""Your content contains images and\/or video(s)."",""score"":5,""maxScore"":5},""paragraphLength"":{""title"":""Paragraphs length"",""description"":""You are using short paragraphs."",""score"":5,""maxScore"":5,""error"":0},""sentenceLength"":{""title"":""Sentences length"",""description"":""Sentence length is looking great!"",""score"":9,""maxScore"":9,""error"":0},""passiveVoice"":{""title"":""Passive voice"",""description"":""You're using enough active voice. That's great!"",""score"":9,""maxScore"":9,""error"":0},""transitionWords"":{""title"":""Transition words"",""description"":""Only 4.8% of the sentences contain transition words, which is not enough. Use more of them."",""score"":3,""maxScore"":9,""error"":1},""consecutiveSentences"":{""title"":""Consecutive sentences"",""description"":""The text contains 8 consecutive sentences starting with the same word. Try to mix things up!"",""score"":3,""maxScore"":9,""error"":1},""subheadingsDistribution"":{""title"":""Subheading distribution"",""description"":""Great job!"",""score"":9,""maxScore"":9,""error"":0},""calculateFleschReading"":{""title"":""Flesch reading ease"",""description"":""The copy scores 54.7 in the test, which is considered fairly difficult to read. Try to make shorter sentences to improve readability."",""score"":6,""maxScore"":9,""error"":1},""errors"":3}}}",,,,default,default,,,,,,,,,"[]","0",default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""Movie"":[],""Person"":[],""Product"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":""WebPage"",""isEnabled"":true},""graphs"":[]}","0","1","0","0","0","0","0","0","0","-1","-1",large,,default,"0",2021-02-08 17:13:02,2022-11-08 14:54:08
"792","11569",,,"[]","{""focus"":[],""additional"":[]}","{""analysis"":{""basic"":{""metadescriptionLength"":{""title"":""Meta description length"",""description"":""The meta description is over 160 characters."",""score"":6,""maxScore"":9,""error"":1},""lengthContent"":{""title"":""Content Length"",""description"":""This is far below the recommended minimum of words."",""score"":-20,""maxScore"":9,""error"":1},""isInternalLink"":{""title"":""Internal links"",""description"":""We couldn't find any internal links in your content. Add internal links in your content."",""score"":3,""maxScore"":9,""error"":1},""isExternalLink"":{""title"":""External links"",""description"":""Great! You are linking to external resources."",""score"":9,""maxScore"":9,""error"":0},""errors"":3},""title"":{""titleLength"":{""title"":""Title Length"",""description"":""Well done!"",""score"":9,""maxScore"":9,""error"":0},""errors"":0},""readability"":{""contentHasAssets"":{""error"":1,""title"":""Images\/Videos in content"",""description"":""You are not using rich media like images or videos."",""score"":1,""maxScore"":5},""paragraphLength"":{""title"":""Paragraphs Length"",""description"":""You are using short paragraphs."",""score"":5,""maxScore"":5,""error"":0},""sentenceLength"":{""title"":""Sentences Length"",""description"":""Sentence length is looking great!"",""score"":9,""maxScore"":9,""error"":0},""passiveVoice"":{""title"":""Passive Voice"",""description"":""You're using enough active voice. That's great!"",""score"":9,""maxScore"":9,""error"":0},""transitionWords"":{""title"":""Transition words"",""description"":""None of the sentences contain transition words. Use some."",""score"":3,""maxScore"":9,""error"":1},""consecutiveSentences"":{""title"":""Consecutive sentences"",""description"":""There is enough variety in your sentences. That's great!"",""score"":9,""maxScore"":9,""error"":0},""subheadingsDistribution"":{""title"":""Subheading distribution"",""description"":""Great job!"",""score"":9,""maxScore"":9,""error"":0},""calculateFleschReading"":{""title"":""Flesch Reading Ease"",""description"":""The copy scores 61.4 in the test, which is considered ok to read."",""score"":9,""maxScore"":9,""error"":0},""errors"":2}}}",,,,default,default,,,,,,,,,"[]","0",default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""defaultGraph"":""WebPage"",""defaultPostTypeGraph"":""WebPage"",""graphs"":[]}","0","1","0","0","0","0","0","0","0","-1","-1",large,,default,"0",2021-02-08 17:20:30,2022-09-14 18:49:20
"793","11571",,,,"{""focus"":{""keyphrase"":"""",""score"":0,""analysis"":{""keyphraseInTitle"":{""score"":0,""maxScore"":9,""error"":1}}},""additional"":[]}","{""analysis"":{""basic"":{""metadescriptionLength"":{""score"":6,""maxScore"":9,""error"":1},""lengthContent"":{""score"":-10,""maxScore"":9,""error"":1},""isInternalLink"":{""score"":3,""maxScore"":9,""error"":1},""isExternalLink"":{""score"":9,""maxScore"":9,""error"":0},""errors"":3},""title"":{""titleLength"":{""score"":9,""maxScore"":9,""error"":0},""errors"":0},""readability"":{""contentHasAssets"":{""error"":1,""score"":1,""maxScore"":5},""paragraphLength"":{""score"":5,""maxScore"":5,""error"":0},""sentenceLength"":{""score"":9,""maxScore"":9,""error"":0},""passiveVoice"":{""score"":9,""maxScore"":9,""error"":0},""transitionWords"":{""score"":6,""maxScore"":9,""error"":1},""consecutiveSentences"":{""score"":3,""maxScore"":9,""error"":1},""subheadingsDistribution"":{""score"":9,""maxScore"":9,""error"":0},""calculateFleschReading"":{""score"":3,""maxScore"":9,""error"":1},""errors"":4}}}",,,,default,default,,,,,,,,,,"0",default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":""WebPage"",""isEnabled"":true},""graphs"":[]}","0","1","0","0","0","0","0","0","0","-1","-1",large,,default,"0",2021-02-08 17:22:25,2024-10-09 18:35:18
"794","11573",,,,"{""focus"":{""keyphrase"":"""",""score"":0,""analysis"":{""keyphraseInTitle"":{""score"":0,""maxScore"":9,""error"":1}}},""additional"":[]}","{""analysis"":{""basic"":{""metadescriptionLength"":{""score"":6,""maxScore"":9,""error"":1},""lengthContent"":{""score"":6,""maxScore"":9,""error"":1},""isInternalLink"":{""score"":9,""maxScore"":9,""error"":0},""isExternalLink"":{""score"":9,""maxScore"":9,""error"":0},""errors"":2},""title"":{""titleLength"":{""score"":9,""maxScore"":9,""error"":0},""errors"":0},""readability"":{""contentHasAssets"":{""error"":0,""score"":5,""maxScore"":5},""paragraphLength"":{""score"":5,""maxScore"":5,""error"":0},""sentenceLength"":{""score"":9,""maxScore"":9,""error"":0},""passiveVoice"":{""score"":9,""maxScore"":9,""error"":0},""transitionWords"":{""score"":3,""maxScore"":9,""error"":1},""consecutiveSentences"":{""score"":9,""maxScore"":9,""error"":0},""subheadingsDistribution"":{""score"":9,""maxScore"":9,""error"":0},""calculateFleschReading"":{""score"":3,""maxScore"":9,""error"":1},""errors"":2}}}",,,,default,default,,,,,,,,,,"0",default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":""WebPage"",""isEnabled"":true},""graphs"":[]}","0","1","0","0","0","0","0","0","0","-1","-1",large,,default,"0",2021-02-08 17:54:54,2024-11-12 20:16:20
"795","11578",,,"[]","{""focus"":[],""additional"":[]}","{""analysis"":{""basic"":{""metadescriptionLength"":{""title"":""Meta description length"",""description"":""The meta description is over 160 characters."",""score"":6,""maxScore"":9,""error"":1},""lengthContent"":{""title"":""Content length"",""description"":""This is far below the recommended minimum of words."",""score"":-10,""maxScore"":9,""error"":1},""isInternalLink"":{""title"":""Internal links"",""description"":""You are linking to other resources on your website which is great."",""score"":9,""maxScore"":9,""error"":0},""isExternalLink"":{""title"":""External links"",""description"":""Great! You are linking to external resources."",""score"":9,""maxScore"":9,""error"":0},""errors"":2},""title"":{""titleLength"":{""title"":""SEO Title length"",""description"":""The title is too short."",""score"":6,""maxScore"":9,""error"":1},""errors"":1},""readability"":{""contentHasAssets"":{""error"":1,""title"":""Images\/videos in content"",""description"":""You are not using rich media like images or videos."",""score"":1,""maxScore"":5},""paragraphLength"":{""title"":""Paragraphs length"",""description"":""You are using short paragraphs."",""score"":5,""maxScore"":5,""error"":0},""sentenceLength"":{""title"":""Sentences length"",""description"":""Sentence length is looking great!"",""score"":9,""maxScore"":9,""error"":0},""passiveVoice"":{""title"":""Passive voice"",""description"":""17.6% of the sentences contain passive voice, which is more than the recommended maximum of 10%. Try to use their active counterparts."",""score"":3,""maxScore"":9,""error"":1},""transitionWords"":{""title"":""Transition words"",""description"":""Only 23.5% of the sentences contain transition words, which is not enough. Use more of them."",""score"":6,""maxScore"":9,""error"":1},""consecutiveSentences"":{""title"":""Consecutive sentences"",""description"":""There is enough variety in your sentences. That's great!"",""score"":9,""maxScore"":9,""error"":0},""subheadingsDistribution"":{""title"":""Subheading distribution"",""description"":""Great job!"",""score"":9,""maxScore"":9,""error"":0},""calculateFleschReading"":{""title"":""Flesch reading ease"",""description"":""The copy scores 58.1 in the test, which is considered fairly difficult to read. Try to make shorter sentences to improve readability."",""score"":6,""maxScore"":9,""error"":1},""errors"":4}}}",,,,default,default,,,,,,,,,"[]","0",default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""defaultGraph"":""WebPage"",""defaultPostTypeGraph"":""WebPage"",""graphs"":[]}","0","1","0","0","0","0","0","0","0","-1","-1",large,,default,"0",2021-02-08 18:10:58,2022-09-14 08:17:31
"796","11585",,,"[]","{""focus"":{""keyphrase"":"""",""score"":0,""analysis"":{""keyphraseInTitle"":{""score"":0,""maxScore"":9,""error"":1}}},""additional"":[]}","{""analysis"":{""basic"":{""metadescriptionLength"":{""score"":6,""maxScore"":9,""error"":1},""lengthContent"":{""score"":-10,""maxScore"":9,""error"":1},""isInternalLink"":{""score"":3,""maxScore"":9,""error"":1},""isExternalLink"":{""score"":9,""maxScore"":9,""error"":0},""errors"":3},""title"":{""titleLength"":{""score"":9,""maxScore"":9,""error"":0},""errors"":0},""readability"":{""contentHasAssets"":{""error"":1,""score"":1,""maxScore"":5},""paragraphLength"":{""score"":0,""maxScore"":5,""error"":1},""sentenceLength"":{""score"":9,""maxScore"":9,""error"":0},""passiveVoice"":{""score"":9,""maxScore"":9,""error"":0},""transitionWords"":{""score"":3,""maxScore"":9,""error"":1},""consecutiveSentences"":{""score"":3,""maxScore"":9,""error"":1},""subheadingsDistribution"":{""score"":9,""maxScore"":9,""error"":0},""calculateFleschReading"":{""score"":3,""maxScore"":9,""error"":1},""errors"":5}}}",,,,default,default,,,,,,,,,"[]","0",default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":""WebPage"",""isEnabled"":true},""graphs"":[]}","0","1","0","0","0","0","0","0","0","-1","-1",large,,default,"0",2021-02-08 18:19:51,2022-12-12 14:58:58
"797","11587",,,"[]","{""focus"":[],""additional"":[]}","{""analysis"":{""basic"":{""metadescriptionLength"":{""title"":""Meta description length"",""description"":""The meta description is over 160 characters."",""score"":6,""maxScore"":9,""error"":1},""lengthContent"":{""title"":""Content length"",""description"":""The content length is ok. Good job!"",""score"":9,""maxScore"":9,""error"":0},""isInternalLink"":{""title"":""Internal links"",""description"":""You are linking to other resources on your website which is great."",""score"":9,""maxScore"":9,""error"":0},""isExternalLink"":{""title"":""External links"",""description"":""Great! You are linking to external resources."",""score"":9,""maxScore"":9,""error"":0},""errors"":1},""title"":{""titleLength"":{""title"":""SEO Title length"",""description"":""The title is too short."",""score"":6,""maxScore"":9,""error"":1},""errors"":1},""readability"":{""contentHasAssets"":{""error"":1,""title"":""Images\/videos in content"",""description"":""You are not using rich media like images or videos."",""score"":1,""maxScore"":5},""paragraphLength"":{""title"":""Paragraphs length"",""description"":""You are using short paragraphs."",""score"":5,""maxScore"":5,""error"":0},""sentenceLength"":{""title"":""Sentences length"",""description"":""Sentence length is looking great!"",""score"":9,""maxScore"":9,""error"":0},""passiveVoice"":{""title"":""Passive voice"",""description"":""You're using enough active voice. That's great!"",""score"":9,""maxScore"":9,""error"":0},""transitionWords"":{""title"":""Transition words"",""description"":""Only 22.6% of the sentences contain transition words, which is not enough. Use more of them."",""score"":6,""maxScore"":9,""error"":1},""consecutiveSentences"":{""title"":""Consecutive sentences"",""description"":""There is enough variety in your sentences. That's great!"",""score"":9,""maxScore"":9,""error"":0},""subheadingsDistribution"":{""title"":""Subheading distribution"",""description"":""Great job!"",""score"":9,""maxScore"":9,""error"":0},""calculateFleschReading"":{""title"":""Flesch reading ease"",""description"":""The copy scores 46.2 in the test, which is considered difficult to read. Try to make shorter sentences, using less difficult words to improve readability."",""score"":3,""maxScore"":9,""error"":1},""errors"":3}}}",,,,default,default,,,,,,,,,"[]","0",default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""defaultGraph"":""WebPage"",""defaultPostTypeGraph"":""WebPage"",""graphs"":[]}","0","1","0","0","0","0","0","0","0","-1","-1",large,,default,"0",2021-02-08 18:24:53,2022-09-14 14:46:24
"798","11596",,,"[]","{""focus"":{""keyphrase"":"""",""score"":0,""analysis"":{""keyphraseInTitle"":{""score"":0,""maxScore"":9,""error"":1}}},""additional"":[]}","{""analysis"":{""basic"":{""metadescriptionLength"":{""title"":""Meta description length"",""description"":""The meta description is over 160 characters."",""score"":6,""maxScore"":9,""error"":1},""lengthContent"":{""title"":""Content length"",""description"":""The content length is ok. Good job!"",""score"":9,""maxScore"":9,""error"":0},""isInternalLink"":{""title"":""Internal links"",""description"":""You are linking to other resources on your website which is great."",""score"":9,""maxScore"":9,""error"":0},""isExternalLink"":{""title"":""External links"",""description"":""Great! You are linking to external resources."",""score"":9,""maxScore"":9,""error"":0},""errors"":1},""title"":{""titleLength"":{""title"":""SEO Title length"",""description"":""The title is over 60 characters."",""score"":6,""maxScore"":9,""error"":1},""errors"":1},""readability"":{""contentHasAssets"":{""error"":0,""title"":""Images\/videos in content"",""description"":""Your content contains images and\/or video(s)."",""score"":5,""maxScore"":5},""paragraphLength"":{""title"":""Paragraphs length"",""description"":""You are using short paragraphs."",""score"":5,""maxScore"":5,""error"":0},""sentenceLength"":{""title"":""Sentences length"",""description"":""Sentence length is looking great!"",""score"":9,""maxScore"":9,""error"":0},""passiveVoice"":{""title"":""Passive voice"",""description"":""15.4% of the sentences contain passive voice, which is more than the recommended maximum of 10%. Try to use their active counterparts."",""score"":3,""maxScore"":9,""error"":1},""transitionWords"":{""title"":""Transition words"",""description"":""Well done!"",""score"":9,""maxScore"":9,""error"":0},""consecutiveSentences"":{""title"":""Consecutive sentences"",""description"":""The text contains 3 consecutive sentences starting with the same word. Try to mix things up!"",""score"":3,""maxScore"":9,""error"":1},""subheadingsDistribution"":{""title"":""Subheading distribution"",""description"":""Great job!"",""score"":9,""maxScore"":9,""error"":0},""calculateFleschReading"":{""title"":""Flesch reading ease"",""description"":""The copy scores 59.8 in the test, which is considered fairly difficult to read. Try to make shorter sentences to improve readability."",""score"":6,""maxScore"":9,""error"":1},""errors"":3}}}",,,,default,default,,,,,,,,,"[]","0",default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""Movie"":[],""Person"":[],""Product"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":""WebPage"",""isEnabled"":true},""graphs"":[]}","0","1","0","0","0","0","0","0","0","-1","-1",large,,default,"0",2021-02-08 18:29:11,2022-10-27 15:28:07
"799","11598",,,,"{""focus"":{""keyphrase"":"""",""score"":0,""analysis"":{""keyphraseInTitle"":{""score"":0,""maxScore"":9,""error"":1}}},""additional"":[]}","{""analysis"":{""basic"":{""metadescriptionLength"":{""score"":6,""maxScore"":9,""error"":1},""lengthContent"":{""score"":-10,""maxScore"":9,""error"":1},""isInternalLink"":{""score"":9,""maxScore"":9,""error"":0},""isExternalLink"":{""score"":9,""maxScore"":9,""error"":0},""errors"":2},""title"":{""titleLength"":{""score"":9,""maxScore"":9,""error"":0},""errors"":0},""readability"":{""contentHasAssets"":{""error"":1,""score"":1,""maxScore"":5},""paragraphLength"":{""score"":5,""maxScore"":5,""error"":0},""sentenceLength"":{""score"":9,""maxScore"":9,""error"":0},""passiveVoice"":{""score"":9,""maxScore"":9,""error"":0},""transitionWords"":{""score"":3,""maxScore"":9,""error"":1},""consecutiveSentences"":{""score"":9,""maxScore"":9,""error"":0},""subheadingsDistribution"":{""score"":9,""maxScore"":9,""error"":0},""calculateFleschReading"":{""score"":9,""maxScore"":9,""error"":0},""errors"":2}}}",,,,default,default,,,,,,,,,,"0",default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":""WebPage"",""isEnabled"":true},""graphs"":[]}","0","1","0","0","0","0","0","0","0","-1","-1",large,,default,"0",2021-02-08 18:32:11,2024-09-17 13:28:48
"800","11600",,"Comprehensive guide on the Definition of Done in Scrum. Learn what it is, its importance, how it differs from Acceptance Criteria, its key characteristics, and more.",,"{""focus"":{""keyphrase"":"""",""score"":0,""analysis"":{""keyphraseInTitle"":{""score"":0,""maxScore"":9,""error"":1}}},""additional"":[]}","{""analysis"":{""basic"":{""metadescriptionLength"":{""score"":6,""maxScore"":9,""error"":1},""lengthContent"":{""score"":9,""maxScore"":9,""error"":0},""isInternalLink"":{""score"":9,""maxScore"":9,""error"":0},""isExternalLink"":{""score"":9,""maxScore"":9,""error"":0},""errors"":1},""title"":{""titleLength"":{""score"":9,""maxScore"":9,""error"":0},""errors"":0},""readability"":{""contentHasAssets"":{""error"":0,""score"":5,""maxScore"":5},""paragraphLength"":{""score"":5,""maxScore"":5,""error"":0},""sentenceLength"":{""score"":9,""maxScore"":9,""error"":0},""passiveVoice"":{""score"":6,""maxScore"":9,""error"":1},""transitionWords"":{""score"":6,""maxScore"":9,""error"":1},""consecutiveSentences"":{""score"":9,""maxScore"":9,""error"":0},""subheadingsDistribution"":{""score"":9,""maxScore"":9,""error"":0},""calculateFleschReading"":{""score"":9,""maxScore"":9,""error"":0},""errors"":2}}}",,,,default,default,,,,,,,,,,"0",default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":""WebPage"",""isEnabled"":true},""graphs"":[]}","0","1","0","0","0","0","0","0","0","-1","-1",large,,default,"0",2021-02-08 18:34:53,2024-10-10 14:02:45
